biocomp_id,molregno,component_id
3490,1380938,21480
1328,1380939,21479
1932,1380939,21480
2265,1380966,20964
3279,1380968,20967
3195,1380973,20759
3196,1380973,20760
2250,1380974,21114
1940,1380974,21115
1626,1380975,20950
1625,1380975,21717
3408,1380979,20847
2790,1380979,20848
2471,1380990,20690
2791,1380990,22117
3049,1380995,20952
3494,1380996,21473
2875,1380996,21474
2231,1380996,22110
1610,1380996,22111
3646,1380998,20966
1325,1381000,22191
1613,1381000,22192
2395,1381003,21132
3647,1381003,21208
1603,1381004,22013
1604,1381004,22014
2221,1381004,22198
1913,1381004,22199
3178,1381005,22204
2396,1381019,20697
3514,1381058,20698
2573,1381099,20702
2254,1381135,20703
2326,1381154,20704
2002,1381154,21614
2557,1381159,20705
1352,1381241,20708
1482,1381291,20710
1953,1381303,20711
3505,1381325,20713
1935,1381325,20714
1346,1381331,20906
3202,1381331,20907
2900,1381331,21766
1345,1381331,21767
2393,1381354,20715
3526,1381359,20716
3215,1381359,21808
2713,1381362,20717
1772,1381362,20718
2908,1381425,20720
3198,1381437,20721
1342,1381437,21761
2872,1381704,21475
2211,1381735,21069
3169,1381735,21070
1596,1381761,21258
2534,1381761,21259
2535,1381783,21377
2863,1381783,21378
3479,1381797,22380
2215,1381797,22381
1316,1381817,21218
2223,1381817,21219
1605,1381824,22150
2868,1381824,22151
2542,1381825,22187
3484,1381825,22188
1914,1381827,21020
1606,1381827,21021
1915,1381828,21026
1317,1381828,21027
1916,1381829,20993
3176,1381829,20994
3105,1381846,22202
2789,1381846,22203
2549,1381848,20995
2877,1381848,20996
1612,1381867,21743
1922,1381867,21744
2234,1381870,21187
2878,1381870,21188
3495,1381873,21347
3496,1381873,21348
3498,1381896,21005
2550,1381896,21006
1925,1381897,21061
1926,1381897,21062
3183,1381907,21472
2552,1381907,21501
1929,1381909,21270
1930,1381909,21271
3500,1381910,21018
2238,1381910,21019
1616,1381917,21356
2239,1381917,21357
2553,1381928,22195
2882,1381928,22196
2883,1381940,20997
1618,1381940,20998
1602,1381968,22189
2539,1381968,22190
2218,1381973,21180
1911,1381973,21181
1912,1381980,21618
2541,1381980,21619
3482,1381980,22142
3483,1381980,22143
3492,1382044,21791
1609,1382044,21792
2232,1382064,20972
2876,1382064,21709
3180,1382076,21688
1611,1382076,21689
1933,1382093,21329
2884,1382093,21330
1330,1382102,22149
2240,1382104,20999
2554,1382104,21000
3185,1382105,22200
2241,1382105,22201
3186,1382107,21030
3187,1382107,21031
3268,1383021,20916
2642,1383021,20917
2066,1383724,20968
3638,1449136,20597
3041,1449145,20959
3641,1449182,20542
1351,1449347,20858
1335,1449584,20969
2660,1540520,21001
3598,1540520,21002
2977,1540520,21863
2014,1540520,21894
2543,1540521,21003
1917,1540521,21004
3175,1540523,21007
2867,1540523,21009
2145,1540524,21010
1845,1540524,21011
2235,1540525,21012
2879,1540525,21013
1924,1540525,21625
1923,1540525,21626
2219,1540527,21016
1314,1540527,21017
2866,1540527,21818
2540,1540527,21850
3271,1540528,20971
3487,1540531,21022
1319,1540531,21023
1550,1544440,20630
3566,1592355,21025
2631,1592355,22114
2630,1592356,21024
1991,1592357,20975
2976,1592358,21028
2659,1592358,21029
1690,1592360,20973
3259,1592361,21032
3565,1592361,21033
1396,1592362,21034
2629,1592363,20974
1990,1592363,21960
1685,1626776,20980
2626,1626776,20981
2952,1626776,21762
3258,1626776,21763
2954,1626777,21014
2627,1626777,21015
2310,1626777,22063
3563,1626777,22064
1687,1626778,21074
1988,1626778,21075
3181,1626779,21071
2233,1626779,21072
3564,1626780,21073
1989,1626781,20989
2955,1626781,20990
2956,1626782,20991
1394,1626782,20992
2220,1626783,20976
1315,1626783,20977
2953,1626784,20982
1686,1626784,20983
2624,1626785,20985
1986,1626785,20986
2951,1626786,20978
2623,1626786,20979
2339,1626787,20987
1432,1626787,20988
3562,1626788,20984
3106,1763539,21129
3173,1763540,21108
2865,1763540,21109
1759,1763541,21122
3320,1763541,21124
1684,1763542,21125
3257,1763542,21126
1688,1763543,21128
1395,1763543,21486
2545,1763544,21112
1918,1763544,21113
3489,1763544,22065
2226,1763544,22066
2625,1763545,21127
1987,1763545,21623
3284,1763547,21110
2021,1763547,21111
1253,1763548,21114
1254,1763548,21115
1429,1763549,21116
3597,1763549,21117
1430,1763549,21769
1431,1763549,21770
1689,1763550,21118
2628,1763550,21119
3481,1763551,21123
1601,1763551,21124
1600,1763551,21805
2538,1763551,21806
3568,1926770,21097
2314,1926770,21713
2975,1926771,21059
3277,1926771,21060
1992,1926772,21063
2318,1926772,21064
1757,1926773,21076
2069,1926773,21077
2860,1926775,21080
1310,1926775,21081
1758,1926839,21035
3032,1926839,21036
3570,1926840,21037
2958,1926840,21038
3033,1926841,21053
3319,1926841,21054
1401,1926845,21089
1402,1926845,21090
3573,1926845,21899
1696,1926845,21900
2658,1926919,21098
1695,1926920,21078
2635,1926920,21079
3174,1926921,21093
3480,1926921,21094
2343,1926980,21065
2023,1926980,21066
2344,1926980,21916
2022,1926980,21917
1324,1926981,21091
3182,1926981,21092
3260,1927038,21043
1397,1927038,21044
2312,1927038,21953
3567,1927038,21954
3261,1927039,21099
1399,1927040,21085
1694,1927040,21086
3569,1927040,21816
2633,1927040,21817
3318,1927041,21091
2702,1927041,21092
2634,1927108,21039
2316,1927108,21040
2317,1927108,21041
3571,1927108,21042
1472,1927109,21045
2703,1927109,21046
1398,1927110,21051
2313,1927110,21052
2319,1927111,21140
1400,1927111,21141
3572,1927111,22746
1993,1927111,22747
1693,1927165,21055
2315,1927165,21056
3031,1927166,21057
2068,1927166,21058
2862,1927219,21047
2213,1927219,21048
1692,1927220,21053
2632,1927220,21054
1322,1927221,21095
1607,1927221,21096
1436,1927222,21067
1717,1927222,21068
1329,1927223,21087
3184,1927223,21088
2704,1927224,21095
2385,1927224,21096
1243,1927268,21243
3107,1927268,21244
1997,2039198,21137
2638,2039198,21138
2322,2039198,21629
2962,2039198,21630
2640,2039199,21146
3266,2039199,21147
3576,2039200,21152
3577,2039200,21153
3578,2039200,22160
2324,2039200,22161
3262,2039247,21156
2320,2039247,21449
1241,2039248,21130
1242,2039248,21131
2321,2039249,21133
1996,2039249,21134
2961,2039250,21158
1995,2039250,21159
2959,2039265,21130
3574,2039265,21131
1405,2039266,21139
1403,2039294,21155
1597,2039295,21102
2214,2039295,21103
1994,2039296,21104
2636,2039296,21105
2338,2039297,21135
2013,2039297,21136
1714,2039297,21705
2655,2039297,21706
2637,2039298,21144
3264,2039298,21145
2323,2039299,21150
1998,2039299,21151
1406,2039299,21858
1407,2039299,21859
1240,2039327,22397
2656,2039328,21286
2657,2039328,21704
1404,2039329,21157
3263,2039329,22022
2960,2039330,21132
3575,2039330,21208
1697,2039354,21154
3497,2039375,21106
1614,2039375,21107
2700,2039376,21140
2384,2039376,21141
3633,2039377,21142
2701,2039377,21143
1320,2096357,21169
1321,2096357,21170
2981,2096358,21239
3599,2096358,21240
3600,2096358,22112
3282,2096358,22113
3601,2096359,22133
2663,2096359,22134
2653,2096371,21166
1713,2096371,21167
2336,2096371,21810
3595,2096371,21811
2971,2096372,21680
2972,2096372,21681
1433,2096380,21173
2017,2096380,21174
2340,2096380,21813
3281,2096380,21814
2012,2096381,21315
2973,2096381,21316
1710,2096394,21179
2019,2096395,21301
1435,2096396,21282
2982,2096396,21283
2020,2096397,21321
1779,2096407,21169
2079,2096407,21170
2230,2096423,21171
3493,2096423,21172
2661,2096424,21278
2662,2096424,21279
1434,2096424,21658
1716,2096424,21827
2341,2096425,21272
2018,2096425,21273
2011,2096435,21168
2335,2096437,21175
1711,2096437,21176
1712,2096437,21177
3594,2096437,21178
3596,2096444,21163
1428,2096444,21164
2974,2096444,21165
2654,2096444,21802
3276,2096444,21803
