prod_pat_id,product_id,patent_no,patent_expire_date,drug_substance_flag,drug_product_flag,patent_use_code,delist_flag,submission_date
19577,PRODUCT_211358_001,8653103,2028-12-04,0,1,,0,2018-09-06
19578,PRODUCT_208799_003,10022510,2031-05-18,0,1,,0,2018-08-13
19579,PRODUCT_208325_002,10344765,2034-06-27,0,1,,0,2019-07-19
19580,PRODUCT_209483_001,9855334,2035-03-11,0,1,,0,2018-01-04
19581,PRODUCT_211288_001,7772243,2028-08-26,1,1,,0,2018-10-25
19582,PRODUCT_208627_001,8124643,2024-06-18,1,1,,0,2018-08-09
19583,PRODUCT_208798_003,10195375,2031-02-14,0,1,,0,2019-03-05
19584,PRODUCT_022517_001,7947654,2023-12-29,0,1,,0,2018-07-25
19585,PRODUCT_203634_001,10307375,2031-09-07,0,1,,0,2019-06-14
19586,PRODUCT_209863_003,9744302,2035-11-19,0,1,,0,2018-10-24
19588,PRODUCT_021272_001,10076505,2024-12-16,0,1,,0,2018-10-01
19590,PRODUCT_021986_006,8680103*PED,2025-08-04,0,0,,0,
19591,PRODUCT_021986_004,7491725*PED,2026-09-28,0,0,,0,
19592,PRODUCT_021986_004,8680103*PED,2025-08-04,0,0,,0,
19593,PRODUCT_021986_003,7491725*PED,2026-09-28,0,0,,0,
19596,PRODUCT_022068_003,8163904*PED,2029-02-23,0,0,,0,
19597,PRODUCT_022068_003,7169791*PED,2024-01-04,0,0,,0,
19598,PRODUCT_022068_003,8389537*PED,2027-01-18,0,0,,0,
19599,PRODUCT_022068_001,8389537*PED,2027-01-18,0,0,,0,
19606,PRODUCT_200603_004,9174975*PED,2024-08-20,0,0,,0,
19607,PRODUCT_206321_001,8920383*PED,2027-01-17,0,0,,0,
19608,PRODUCT_206321_001,9616180*PED,2026-07-20,0,0,,0,
19609,PRODUCT_205834_001,9393256*PED,2033-03-14,0,0,,0,
19610,PRODUCT_203389_002,8026284*PED,2028-03-22,0,0,,0,
19611,PRODUCT_203389_002,9198882*PED,2027-07-26,0,0,,0,
19612,PRODUCT_203389_002,9173851*PED,2034-12-17,0,0,,0,
19613,PRODUCT_203389_001,9192590*PED,2027-07-26,0,0,,0,
19614,PRODUCT_203389_001,9233077*PED,2034-12-17,0,0,,0,
19618,PRODUCT_209195_001,8334270*PED,2028-09-21,0,0,,0,
19619,PRODUCT_209195_001,8633309*PED,2029-09-26,0,0,,0,
19622,PRODUCT_206143_001,7361650*PED,2026-08-22,0,0,,0,
19629,PRODUCT_209501_001,8945620*PED,2027-05-02,0,0,,0,
19630,PRODUCT_208341_001,8633309*PED,2029-09-26,0,0,,0,
19631,PRODUCT_206406_003,9763920,2024-08-30,0,1,,0,2017-12-20
19632,PRODUCT_021829_005,10350174,2030-12-22,0,1,,0,2019-07-18
19633,PRODUCT_211651_002,8420650,2029-07-27,1,1,,0,2018-11-14
19634,PRODUCT_210563_003,10213386,2036-03-03,0,1,,0,2019-03-08
19635,PRODUCT_208745_001,9925231,2031-09-15,0,1,,0,2018-04-10
19636,PRODUCT_210922_001,8642076,2027-10-03,0,1,,0,2018-09-06
19637,PRODUCT_201739_003,8926594,2026-03-31,0,1,,0,2017-12-15
19639,PRODUCT_204114_002,8835443,2025-06-10,0,0,U-2037,0,2014-10-07
19640,PRODUCT_207202_001,8956288,2029-07-06,0,1,U-2167,0,2017-12-12
19641,PRODUCT_207202_002,8847766,2030-03-29,0,1,U-2167,0,2017-12-12
19643,PRODUCT_207202_003,8547248,2030-12-18,0,1,U-2167,0,2017-12-12
19645,PRODUCT_202806_002,9233956,2029-05-04,0,0,U-2296,0,2016-02-24
19646,PRODUCT_202806_002,7994185,2030-01-20,1,1,U-2296,0,2013-06-13
19648,PRODUCT_204114_001,8835443,2025-06-10,0,0,U-2037,0,2014-10-07
19649,PRODUCT_207202_006,8956288,2029-07-06,0,1,U-2167,0,2017-12-12
19650,PRODUCT_210563_004,8563563,2027-04-26,0,0,U-2241,0,2018-03-06
