chembl_id,entity_type,entity_id,status,last_active
CHEMBL1000257,ASSAY,497991,ACTIVE,34.0
CHEMBL1000258,ASSAY,497992,ACTIVE,34.0
CHEMBL1000259,ASSAY,497993,ACTIVE,34.0
CHEMBL100026,COMPOUND,160180,ACTIVE,34.0
CHEMBL1000260,ASSAY,497994,ACTIVE,34.0
CHEMBL1000261,ASSAY,497995,ACTIVE,34.0
CHEMBL1000262,ASSAY,497996,ACTIVE,34.0
CHEMBL1000263,ASSAY,497997,ACTIVE,34.0
CHEMBL1000264,ASSAY,497998,ACTIVE,34.0
CHEMBL1000265,ASSAY,497999,ACTIVE,34.0
CHEMBL1000266,ASSAY,496567,ACTIVE,34.0
CHEMBL1000267,ASSAY,496568,ACTIVE,34.0
CHEMBL1000268,ASSAY,496569,ACTIVE,34.0
CHEMBL1000269,ASSAY,496570,ACTIVE,34.0
CHEMBL100027,COMPOUND,158998,ACTIVE,34.0
CHEMBL1000270,ASSAY,496571,ACTIVE,34.0
CHEMBL1000271,ASSAY,496572,ACTIVE,34.0
CHEMBL1000272,ASSAY,496573,ACTIVE,34.0
CHEMBL1000273,ASSAY,496574,ACTIVE,34.0
CHEMBL1000274,ASSAY,496575,ACTIVE,34.0
CHEMBL1000275,ASSAY,496576,ACTIVE,34.0
CHEMBL1000276,ASSAY,496577,ACTIVE,34.0
CHEMBL1000277,ASSAY,496578,ACTIVE,34.0
CHEMBL1000278,ASSAY,496579,ACTIVE,34.0
CHEMBL1000279,ASSAY,496580,ACTIVE,34.0
CHEMBL100028,COMPOUND,158999,ACTIVE,34.0
CHEMBL1000280,ASSAY,496581,ACTIVE,34.0
CHEMBL1000281,ASSAY,496582,ACTIVE,34.0
CHEMBL1000282,ASSAY,496583,ACTIVE,34.0
CHEMBL1000283,ASSAY,496584,ACTIVE,34.0
CHEMBL1000284,ASSAY,496585,ACTIVE,34.0
CHEMBL1000285,ASSAY,496586,ACTIVE,34.0
CHEMBL1000286,ASSAY,496587,ACTIVE,34.0
CHEMBL1000287,ASSAY,496588,ACTIVE,34.0
CHEMBL1000288,ASSAY,496589,ACTIVE,34.0
CHEMBL1000289,ASSAY,496590,ACTIVE,34.0
CHEMBL100029,COMPOUND,161635,ACTIVE,34.0
CHEMBL1000290,ASSAY,496591,ACTIVE,34.0
CHEMBL1000291,ASSAY,496592,ACTIVE,34.0
CHEMBL1000292,ASSAY,496593,ACTIVE,34.0
CHEMBL1000293,ASSAY,495601,ACTIVE,34.0
CHEMBL1000294,ASSAY,495602,ACTIVE,34.0
CHEMBL1000295,ASSAY,495603,ACTIVE,34.0
CHEMBL1000296,ASSAY,495604,ACTIVE,34.0
CHEMBL1000297,ASSAY,495605,ACTIVE,34.0
CHEMBL1000298,ASSAY,495606,ACTIVE,34.0
CHEMBL1000299,ASSAY,495607,ACTIVE,34.0
CHEMBL10003,COMPOUND,7122,ACTIVE,34.0
CHEMBL100030,COMPOUND,162223,ACTIVE,34.0
CHEMBL1000300,ASSAY,495608,ACTIVE,34.0
CHEMBL1000301,ASSAY,495609,ACTIVE,34.0
CHEMBL1000302,ASSAY,495610,ACTIVE,34.0
CHEMBL1000303,ASSAY,495611,ACTIVE,34.0
CHEMBL1000304,ASSAY,495612,ACTIVE,34.0
CHEMBL1000305,ASSAY,495613,ACTIVE,34.0
CHEMBL1000306,ASSAY,495614,ACTIVE,34.0
CHEMBL1000307,ASSAY,495615,ACTIVE,34.0
CHEMBL1000308,ASSAY,495616,ACTIVE,34.0
CHEMBL1000309,ASSAY,495617,ACTIVE,34.0
CHEMBL100031,COMPOUND,160184,ACTIVE,34.0
CHEMBL1000310,ASSAY,495618,ACTIVE,34.0
CHEMBL1000311,ASSAY,495619,ACTIVE,34.0
CHEMBL1000312,ASSAY,495620,ACTIVE,34.0
CHEMBL1000313,ASSAY,495621,ACTIVE,34.0
CHEMBL1000314,ASSAY,495622,ACTIVE,34.0
CHEMBL1000315,ASSAY,495623,ACTIVE,34.0
CHEMBL1000316,ASSAY,495624,ACTIVE,34.0
CHEMBL1000317,ASSAY,495625,ACTIVE,34.0
CHEMBL1000318,ASSAY,495626,ACTIVE,34.0
CHEMBL1000319,ASSAY,495627,ACTIVE,34.0
CHEMBL100032,COMPOUND,158784,ACTIVE,34.0
CHEMBL1000320,ASSAY,495628,ACTIVE,34.0
CHEMBL1000321,ASSAY,495629,ACTIVE,34.0
CHEMBL1000322,ASSAY,495630,ACTIVE,34.0
CHEMBL1000323,ASSAY,495631,ACTIVE,34.0
CHEMBL1000324,ASSAY,495632,ACTIVE,34.0
CHEMBL1000325,ASSAY,495633,ACTIVE,34.0
CHEMBL1000326,ASSAY,495634,ACTIVE,34.0
CHEMBL1000327,ASSAY,495635,ACTIVE,34.0
CHEMBL1000328,ASSAY,495636,ACTIVE,34.0
CHEMBL1000329,ASSAY,495637,ACTIVE,34.0
CHEMBL100033,COMPOUND,161230,ACTIVE,34.0
CHEMBL1000330,ASSAY,495638,ACTIVE,34.0
CHEMBL1000331,ASSAY,508192,ACTIVE,34.0
CHEMBL1000332,ASSAY,508193,ACTIVE,34.0
CHEMBL1000333,ASSAY,508194,ACTIVE,34.0
CHEMBL1000334,ASSAY,508195,ACTIVE,34.0
CHEMBL1000335,ASSAY,508196,ACTIVE,34.0
CHEMBL1000336,ASSAY,508197,ACTIVE,34.0
CHEMBL1000337,ASSAY,508198,ACTIVE,34.0
CHEMBL1000338,ASSAY,508199,ACTIVE,34.0
CHEMBL1000339,ASSAY,508200,ACTIVE,34.0
CHEMBL100034,COMPOUND,161518,ACTIVE,34.0
CHEMBL1000340,ASSAY,508201,ACTIVE,34.0
CHEMBL1000341,ASSAY,508202,ACTIVE,34.0
CHEMBL1000342,ASSAY,508203,ACTIVE,34.0
CHEMBL1000343,ASSAY,510393,ACTIVE,34.0
CHEMBL1000344,ASSAY,510394,ACTIVE,34.0
CHEMBL1000345,ASSAY,510395,ACTIVE,34.0
CHEMBL1000346,ASSAY,510396,ACTIVE,34.0
CHEMBL1000347,ASSAY,510397,ACTIVE,34.0
CHEMBL1000348,ASSAY,510398,ACTIVE,34.0
CHEMBL1000349,ASSAY,510399,ACTIVE,34.0
CHEMBL100035,COMPOUND,158168,ACTIVE,34.0
CHEMBL1000350,ASSAY,510400,ACTIVE,34.0
CHEMBL1000351,ASSAY,510401,ACTIVE,34.0
CHEMBL1000352,ASSAY,511060,ACTIVE,34.0
CHEMBL1000353,ASSAY,511061,ACTIVE,34.0
CHEMBL1000354,ASSAY,511062,ACTIVE,34.0
CHEMBL1000355,ASSAY,511063,ACTIVE,34.0
CHEMBL1000356,ASSAY,511064,ACTIVE,34.0
CHEMBL1000357,ASSAY,511065,ACTIVE,34.0
CHEMBL1000358,ASSAY,511066,ACTIVE,34.0
CHEMBL1000359,ASSAY,511067,ACTIVE,34.0
CHEMBL100036,COMPOUND,159371,INACTIVE,18.0
CHEMBL1000360,ASSAY,511068,ACTIVE,34.0
CHEMBL1000361,ASSAY,511069,ACTIVE,34.0
CHEMBL1000362,ASSAY,511070,ACTIVE,34.0
CHEMBL1000363,ASSAY,511071,ACTIVE,34.0
CHEMBL1000364,ASSAY,511072,ACTIVE,34.0
CHEMBL1000365,ASSAY,511073,ACTIVE,34.0
CHEMBL1000366,ASSAY,511074,ACTIVE,34.0
CHEMBL1000367,ASSAY,511075,ACTIVE,34.0
CHEMBL1000368,ASSAY,511076,ACTIVE,34.0
CHEMBL1000369,ASSAY,511077,ACTIVE,34.0
CHEMBL100037,COMPOUND,159964,ACTIVE,34.0
CHEMBL1000370,ASSAY,511078,ACTIVE,34.0
CHEMBL1000371,ASSAY,511079,ACTIVE,34.0
CHEMBL1000372,ASSAY,511080,ACTIVE,34.0
CHEMBL1000373,ASSAY,511081,ACTIVE,34.0
CHEMBL1000374,ASSAY,511082,ACTIVE,34.0
